rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
104,frame_0309.jpg,123.6,0.5026,0.7,0.4286,0.12,8,3,False,False
105,frame_0306.jpg,122.4,0.5025,0.5661,0.5714,0.24,7,4,False,False
106,frame_0126.jpg,50.4,0.5018,0.5282,0.2857,0.76,5,2,False,False
107,frame_0170.jpg,68.0,0.5018,0.5545,0.4286,0.48,6,3,False,False
108,frame_0169.jpg,67.6,0.4991,0.5331,0.4286,0.52,7,3,False,False
109,frame_0290.jpg,116.0,0.4989,0.592,0.1429,0.8,5,1,False,False
110,frame_0308.jpg,123.2,0.4982,0.6753,0.4286,0.16,7,3,False,False
111,frame_0090.jpg,36.0,0.498,0.5948,0.4286,0.36,6,3,False,False
112,frame_0174.jpg,69.6,0.4978,0.6962,0.2857,0.32,6,2,False,False
113,frame_0019.jpg,7.6,0.4977,0.5096,0.1429,1.0,3,1,False,False
114,frame_0318.jpg,127.2,0.4969,0.6407,0.4286,0.24,8,3,False,False
115,frame_0399.jpg,159.6,0.4947,0.5345,0.5714,0.28,9,4,False,False
116,frame_0202.jpg,80.8,0.4925,0.4878,0.4286,0.6,5,3,False,False
117,frame_0289.jpg,115.6,0.4919,0.594,0.1429,0.76,4,1,False,False
118,frame_0287.jpg,114.8,0.4901,0.451,0.4286,0.68,7,3,False,False
119,frame_0113.jpg,45.2,0.4896,0.7118,0.2857,0.24,7,2,False,False
120,frame_0122.jpg,48.8,0.4889,0.652,0.1429,0.6,3,1,False,False
121,frame_0181.jpg,72.4,0.4877,0.6166,0.5714,0.04,7,4,False,False
122,frame_0278.jpg,111.2,0.4862,0.6729,0.2857,0.32,7,2,False,False
123,frame_0397.jpg,158.8,0.4857,0.72,0.2857,0.2,7,2,False,False
124,frame_0268.jpg,107.2,0.4852,0.5955,0.5714,0.08,6,4,False,False
125,frame_0027.jpg,10.8,0.4834,0.3096,0.4286,1.0,5,3,False,False
126,frame_0097.jpg,38.8,0.4834,0.5919,0.5714,0.08,7,4,False,False
127,frame_0307.jpg,122.8,0.4791,0.6211,0.4286,0.2,9,3,False,False
128,frame_0321.jpg,128.4,0.479,0.7066,0.2857,0.2,7,2,False,False
129,frame_0209.jpg,83.6,0.4781,0.5824,0.1429,0.72,4,1,False,False
130,frame_0398.jpg,159.2,0.478,0.6028,0.4286,0.24,8,3,False,False
131,frame_0384.jpg,153.6,0.4776,0.7198,0.2857,0.16,9,2,False,False
132,frame_0275.jpg,110.0,0.4771,0.5314,0.5714,0.2,7,4,False,False
133,frame_0286.jpg,114.4,0.4767,0.5259,0.2857,0.64,6,2,False,False
134,frame_0225.jpg,90.0,0.4757,0.748,0.2857,0.08,7,2,False,False
135,frame_0322.jpg,128.8,0.474,0.6269,0.4286,0.16,6,3,False,False
136,frame_0376.jpg,150.4,0.4728,0.7101,0.2857,0.16,6,2,False,False
137,frame_0186.jpg,74.4,0.4723,0.7571,0.2857,0.04,8,2,False,False
138,frame_0206.jpg,82.4,0.4705,0.4656,0.2857,0.76,3,2,False,False
139,frame_0391.jpg,156.4,0.4704,0.582,0.5714,0.04,10,4,False,False
140,frame_0079.jpg,31.6,0.4703,0.5348,0.1429,0.8,7,1,False,False
141,frame_0016.jpg,6.4,0.4699,0.4541,0.1429,1.0,6,1,False,False
142,frame_0171.jpg,68.4,0.4675,0.5018,0.4286,0.44,5,3,False,False
143,frame_0091.jpg,36.4,0.4662,0.6329,0.2857,0.32,3,2,False,False
144,frame_0317.jpg,126.8,0.465,0.6786,0.2857,0.2,10,2,False,False
145,frame_0301.jpg,120.4,0.4637,0.58,0.2857,0.44,8,2,False,False
146,frame_0396.jpg,158.4,0.4614,0.6017,0.4286,0.16,9,3,False,False
147,frame_0068.jpg,27.2,0.4606,0.4355,0.1429,1.0,5,1,False,False
148,frame_0082.jpg,32.8,0.4599,0.4763,0.2857,0.68,8,2,False,False
149,frame_0172.jpg,68.8,0.4589,0.5006,0.4286,0.4,7,3,False,False
150,frame_0279.jpg,111.6,0.4581,0.6864,0.1429,0.36,6,1,False,False
151,frame_0229.jpg,91.6,0.4579,0.6266,0.4286,0.08,8,3,False,False
152,frame_0315.jpg,126.0,0.4573,0.6094,0.4286,0.12,7,3,False,False
153,frame_0281.jpg,112.4,0.4552,0.5629,0.2857,0.44,5,2,False,False
154,frame_0385.jpg,154.0,0.4545,0.5719,0.4286,0.2,8,3,False,False
155,frame_0274.jpg,109.6,0.4543,0.6731,0.2857,0.16,6,2,False,False
156,frame_0280.jpg,112.0,0.4523,0.5732,0.2857,0.4,6,2,False,False
157,frame_0214.jpg,85.6,0.4521,0.5247,0.2857,0.52,3,2,False,False
158,frame_0111.jpg,44.4,0.4517,0.4966,0.5714,0.16,5,4,False,False
159,frame_0032.jpg,12.8,0.451,0.3306,0.2857,1.0,6,2,False,False
160,frame_0178.jpg,71.2,0.4489,0.5767,0.4286,0.16,6,3,False,False
161,frame_0210.jpg,84.0,0.4469,0.5361,0.1429,0.68,4,1,False,False
162,frame_0221.jpg,88.4,0.4467,0.6259,0.2857,0.24,4,2,False,False
163,frame_0219.jpg,87.6,0.4457,0.5062,0.4286,0.32,4,3,False,False
164,frame_0128.jpg,51.2,0.4437,0.5515,0.0,0.84,7,0,False,False
165,frame_0183.jpg,73.2,0.4434,0.6994,0.2857,0.04,4,2,False,False
166,frame_0080.jpg,32.0,0.4433,0.4112,0.2857,0.76,7,2,False,False
167,frame_0010.jpg,4.0,0.4379,0.39,0.1429,1.0,2,1,False,False
168,frame_0215.jpg,86.0,0.4359,0.4227,0.4286,0.48,3,3,False,False
169,frame_0098.jpg,39.2,0.4356,0.6837,0.2857,0.04,7,2,False,False
170,frame_0025.jpg,10.0,0.4352,0.4704,0.0,1.0,2,0,False,False
171,frame_0185.jpg,74.0,0.435,0.5808,0.4286,0.08,7,3,False,False
172,frame_0381.jpg,152.4,0.4344,0.5956,0.4286,0.04,7,3,False,False
173,frame_0103.jpg,41.2,0.434,0.5468,0.4286,0.16,6,3,False,False
174,frame_0386.jpg,154.4,0.4297,0.6776,0.1429,0.24,5,1,False,False
175,frame_0332.jpg,132.8,0.4272,0.5812,0.4286,0.04,8,3,False,False
176,frame_0213.jpg,85.2,0.4261,0.4568,0.2857,0.56,4,2,False,False
177,frame_0269.jpg,107.6,0.4261,0.579,0.4286,0.04,7,3,False,False
178,frame_0372.jpg,148.8,0.4261,0.547,0.4286,0.12,8,3,False,False
179,frame_0333.jpg,133.2,0.424,0.6446,0.2857,0.08,9,2,False,False
180,frame_0084.jpg,33.6,0.4226,0.5195,0.1429,0.6,3,1,False,False
181,frame_0168.jpg,67.2,0.4216,0.4478,0.2857,0.56,6,2,False,False
182,frame_0013.jpg,5.2,0.4179,0.3501,0.1429,1.0,4,1,False,False
183,frame_0022.jpg,8.8,0.4158,0.3458,0.1429,1.0,4,1,False,False
184,frame_0277.jpg,110.8,0.4148,0.6319,0.1429,0.28,8,1,False,False
185,frame_0023.jpg,9.2,0.4111,0.3364,0.1429,1.0,2,1,False,False
186,frame_0303.jpg,121.2,0.4111,0.5924,0.1429,0.36,5,1,False,False
187,frame_0329.jpg,131.6,0.4105,0.5319,0.4286,0.08,12,3,False,False
188,frame_0211.jpg,84.4,0.4099,0.3923,0.2857,0.64,4,2,False,False
189,frame_0118.jpg,47.2,0.4094,0.5571,0.1429,0.44,5,1,False,False
190,frame_0087.jpg,34.8,0.4089,0.54,0.1429,0.48,4,1,False,False
191,frame_0323.jpg,129.2,0.4082,0.597,0.2857,0.12,7,2,False,False
192,frame_0297.jpg,118.8,0.4071,0.4028,0.2857,0.6,6,2,False,False
193,frame_0175.jpg,70.0,0.4064,0.7008,0.0,0.28,6,0,False,False
194,frame_0304.jpg,121.6,0.4039,0.5084,0.2857,0.32,6,2,False,False
195,frame_0114.jpg,45.6,0.4015,0.5195,0.2857,0.28,7,2,False,False
196,frame_0222.jpg,88.8,0.3972,0.543,0.2857,0.2,5,2,False,False
197,frame_0112.jpg,44.8,0.3971,0.5427,0.2857,0.2,4,2,False,False
198,frame_0192.jpg,76.8,0.3964,0.4556,0.4286,0.2,6,3,False,False
199,frame_0373.jpg,149.2,0.3953,0.4695,0.4286,0.16,7,3,False,False
200,frame_0316.jpg,126.4,0.3937,0.4663,0.4286,0.16,6,3,False,False
201,frame_0217.jpg,86.8,0.39,0.4486,0.2857,0.4,4,2,False,False
202,frame_0191.jpg,76.4,0.388,0.4548,0.4286,0.16,6,3,False,False
203,frame_0212.jpg,84.8,0.3854,0.5308,0.0,0.6,2,0,False,False
204,frame_0190.jpg,76.0,0.3849,0.4647,0.4286,0.12,4,3,False,False
205,frame_0218.jpg,87.2,0.3829,0.4503,0.2857,0.36,4,2,False,False
206,frame_0104.jpg,41.6,0.3812,0.4572,0.4286,0.12,4,3,False,False
207,frame_0208.jpg,83.2,0.3779,0.366,0.1429,0.76,3,1,False,False
208,frame_0179.jpg,71.6,0.3773,0.6208,0.1429,0.12,5,1,False,False
209,frame_0371.jpg,148.4,0.3724,0.4557,0.4286,0.08,8,3,False,False
210,frame_0203.jpg,81.2,0.3711,0.4005,0.1429,0.64,4,1,False,False
211,frame_0220.jpg,88.0,0.3676,0.5375,0.1429,0.28,3,1,False,False
212,frame_0197.jpg,78.8,0.3661,0.4864,0.1429,0.4,1,1,False,False
213,frame_0267.jpg,106.8,0.3659,0.4267,0.4286,0.12,7,3,False,False
214,frame_0382.jpg,152.8,0.3633,0.5232,0.2857,0.08,9,2,False,False
215,frame_0184.jpg,73.6,0.3632,0.6087,0.1429,0.08,7,1,False,False
216,frame_0314.jpg,125.6,0.3626,0.4361,0.4286,0.08,5,3,False,False
217,frame_0324.jpg,129.6,0.362,0.4348,0.4286,0.08,5,3,False,False
218,frame_0119.jpg,47.6,0.3612,0.4446,0.1429,0.48,5,1,False,False
219,frame_0109.jpg,43.6,0.3596,0.43,0.4286,0.08,7,3,False,False
220,frame_0108.jpg,43.2,0.3591,0.5308,0.2857,0.04,8,2,False,False
221,frame_0320.jpg,128.0,0.3585,0.5352,0.1429,0.24,8,1,False,False
222,frame_0395.jpg,158.0,0.3581,0.4967,0.2857,0.12,5,2,False,False
223,frame_0123.jpg,49.2,0.3579,0.4598,0.0,0.64,5,0,False,False
224,frame_0026.jpg,10.4,0.3572,0.3144,0.0,1.0,4,0,False,False
225,frame_0273.jpg,109.2,0.3458,0.4722,0.2857,0.12,4,2,False,False
226,frame_0313.jpg,125.2,0.3454,0.5891,0.1429,0.04,2,1,False,False
227,frame_0311.jpg,124.4,0.3433,0.4991,0.2857,0.04,5,2,False,False
228,frame_0233.jpg,93.2,0.3421,0.4168,0.2857,0.24,6,2,False,False
229,frame_0283.jpg,113.2,0.3378,0.4677,0.0,0.52,4,0,False,False
230,frame_0199.jpg,79.6,0.3367,0.3957,0.1429,0.48,2,1,False,False
231,frame_0228.jpg,91.2,0.3352,0.4829,0.2857,0.04,4,2,False,False
232,frame_0194.jpg,77.6,0.3342,0.385,0.2857,0.28,7,2,False,False
233,frame_0083.jpg,33.2,0.3318,0.3219,0.1429,0.64,5,1,False,False
234,frame_0223.jpg,89.2,0.3309,0.4264,0.2857,0.16,7,2,False,False
235,frame_0101.jpg,40.4,0.3303,0.3714,0.4286,0.08,5,3,False,False
236,frame_0198.jpg,79.2,0.3293,0.3969,0.1429,0.44,2,1,False,False
237,frame_0088.jpg,35.2,0.328,0.48,0.0,0.44,5,0,False,False
238,frame_0394.jpg,157.6,0.3278,0.4522,0.2857,0.08,6,2,False,False
239,frame_0093.jpg,37.2,0.326,0.3846,0.2857,0.24,5,2,False,False
240,frame_0293.jpg,117.2,0.3185,0.333,0.0,0.76,6,0,False,False
241,frame_0121.jpg,48.4,0.3133,0.3168,0.1429,0.56,5,1,False,False
242,frame_0092.jpg,36.8,0.3098,0.3362,0.2857,0.28,6,2,False,False
243,frame_0195.jpg,78.0,0.3084,0.4031,0.1429,0.32,5,1,False,False
244,frame_0196.jpg,78.4,0.3032,0.3766,0.1429,0.36,3,1,False,False
245,frame_0271.jpg,108.4,0.2994,0.497,0.1429,0.04,4,1,False,False
246,frame_0216.jpg,86.4,0.2968,0.3319,0.1429,0.44,4,1,False,False
247,frame_0310.jpg,124.0,0.2954,0.473,0.1429,0.08,7,1,False,False
248,frame_0325.jpg,130.0,0.2945,0.4015,0.2857,0.04,7,2,False,False
249,frame_0393.jpg,157.2,0.2835,0.3795,0.2857,0.04,6,2,False,False
250,frame_0100.jpg,40.0,0.2802,0.3729,0.2857,0.04,4,2,False,False
251,frame_0102.jpg,40.8,0.2799,0.3403,0.2857,0.12,6,2,False,False
252,frame_0189.jpg,75.6,0.2656,0.4134,0.1429,0.08,4,1,False,False
253,frame_0224.jpg,89.6,0.2588,0.4696,0.0,0.12,4,0,False,False
254,frame_0094.jpg,37.6,0.2356,0.3054,0.1429,0.2,5,1,False,False
255,frame_0272.jpg,108.8,0.2038,0.3756,0.0,0.08,4,0,False,False
256,frame_0110.jpg,44.0,0.1267,0.2053,0.0,0.12,2,0,False,False
